Unnamed: 0,Entity,Year,Records,Organization type,Method,Unified_Attack_Category,Unified_Industry,Pandemic_Era,Is_Leap_Year,Country,Continent,Nation_Wealth,West_or_East
49,California Department of Child Support Services,2012,800000,government,lost / stolen media,Physical Loss,Government,Pre-Pandemic,True,USA,North America,High Income,Western
50,Canva,2019,140000000,web,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,False,Australia,Oceania,High Income,Western
51,Capcom,2020,350000,game,hacked,Hacking/Intrusion,Other,Post-Pandemic,True,Japan,Asia,High Income,Eastern
52,Capital One,2019,106000000,financial,unsecured S3 bucket,Misconfiguration/Vulnerability,Finance,Pre-Pandemic,False,USA,North America,High Income,Western
53,"CardSystems Solutions Inc. (MasterCard, Visa, Discover Financial Services and American Express)",2005,40000000,financial,hacked,Hacking/Intrusion,Finance,Pre-Pandemic,False,USA,North America,High Income,Western
54,Cathay Pacific Airways,2018,9400000,transport,hacked,Hacking/Intrusion,Transport,Pre-Pandemic,False,Hong Kong,Asia,High Income,Eastern
55,CareFirst BlueCross Blue Shield - Maryland,2015,1100000,healthcare,hacked,Hacking/Intrusion,Healthcare,Pre-Pandemic,False,USA,North America,High Income,Western
56,Central Coast Credit Union,2016,60000,financial,hacked,Hacking/Intrusion,Finance,Pre-Pandemic,True,Australia,Oceania,High Income,Western
57,Central Hudson Gas & Electric,2013,110000,energy,hacked,Hacking/Intrusion,Energy,Pre-Pandemic,False,USA,North America,High Income,Western
58,CheckFree Corporation,2009,5000000,financial,hacked,Hacking/Intrusion,Finance,Pre-Pandemic,False,USA,North America,High Income,Western
59,CheckPeople,2020,56000000,background check,unknown,Other/Unknown,Other,Post-Pandemic,True,USA,North America,High Income,Western
60,China Software Developer Network,2011,6000000,web,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,False,China,Asia,Upper-Middle Income,Eastern
61,"Chinese gaming websites (three: Duowan, 7K7K, 178.com)",2011,10000000,web,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,False,China,Asia,Upper-Middle Income,Eastern
62,Citigroup,2005,3900000,financial,lost / stolen media,Physical Loss,Finance,Pre-Pandemic,False,USA,North America,High Income,Western
63,Citigroup,2011,360083,financial,hacked,Hacking/Intrusion,Finance,Pre-Pandemic,False,USA,North America,High Income,Western
64,Citigroup,2013,150000,financial,poor security,Misconfiguration/Vulnerability,Finance,Pre-Pandemic,False,USA,North America,High Income,Western
65,City and Hackney Teaching Primary Care Trust,2007,160000,healthcare,lost / stolen media,Physical Loss,Healthcare,Pre-Pandemic,False,UK,Europe,High Income,Western
66,Clearview AI,2020,0,information technology,hacked,Hacking/Intrusion,Technology,Post-Pandemic,True,USA,North America,High Income,Western
67,Colorado government,2010,105470,healthcare,lost / stolen computer,Physical Loss,Healthcare,Pre-Pandemic,False,USA,North America,High Income,Western
68,Community Health Systems,2014,4500000,healthcare,hacked,Hacking/Intrusion,Healthcare,Pre-Pandemic,False,USA,North America,High Income,Western
69,Philippines Commission on Elections,2016,55000000,government,hacked,Hacking/Intrusion,Government,Pre-Pandemic,True,Philippines,Asia,Lower-Middle Income,Eastern
70,Compass Bank,2007,1000000,financial,inside job,Insider Threat,Finance,Pre-Pandemic,False,USA,North America,High Income,Western
71,Countrywide Financial Corp,2006,2600000,financial,inside job,Insider Threat,Finance,Pre-Pandemic,False,USA,North America,High Income,Western
72,Countrywide Financial Corp,2011,2500000,financial,inside job,Insider Threat,Finance,Pre-Pandemic,False,USA,North America,High Income,Western
73,Centers for Medicare & Medicaid Services,2018,75000,healthcare,hacked,Hacking/Intrusion,Healthcare,Pre-Pandemic,False,USA,North America,High Income,Western
74,Cox Communications,2016,40000,telecoms,hacked,Hacking/Intrusion,Telecommunications,Pre-Pandemic,True,USA,North America,High Income,Western
75,"Crescent Health Inc., Walgreens",2013,100000,healthcare,lost / stolen computer,Physical Loss,Healthcare,Pre-Pandemic,False,USA,North America,High Income,Western
76,CVS,2015,0,retail,hacked,Hacking/Intrusion,Retail,Pre-Pandemic,False,USA,North America,High Income,Western
77,CyberServe,2021,1107034,hosting provider,hacked,Hacking/Intrusion,Other,Post-Pandemic,False,Israel,Asia,High Income,Western
78,Dai Nippon Printing,2007,8637405,retail,inside job,Insider Threat,Retail,Pre-Pandemic,False,Japan,Asia,High Income,Eastern
79,"Data Processors International (MasterCard, Visa, Discover Financial Services and American Express)",2008,8000000,financial,hacked,Hacking/Intrusion,Finance,Pre-Pandemic,True,USA,North America,High Income,Western
80,Defense Integrated Data Center (South Korea),2017,235,military,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,False,South Korea,Asia,High Income,Eastern
81,Dedalus,2021,500000,health,poor security,Misconfiguration/Vulnerability,Healthcare,Post-Pandemic,False,Italy,Europe,High Income,Western
82,Deloitte,2017,350,"consulting, accounting",poor security,Misconfiguration/Vulnerability,Other,Pre-Pandemic,False,UK,Europe,High Income,Western
84,US Department of Homeland Security,2016,30000,government,poor security,Misconfiguration/Vulnerability,Government,Pre-Pandemic,True,USA,North America,High Income,Western
85,Desjardins,2019,9700000,financial,inside job,Insider Threat,Finance,Pre-Pandemic,False,Canada,North America,High Income,Western
86,Domino's Pizza (France),2014,600000,web,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,False,France,Europe,High Income,Western
87,DoorDash,2019,4900000,web,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
88,UK Driving Standards Agency,2007,3000000,government,lost / stolen media,Physical Loss,Government,Pre-Pandemic,False,UK,Europe,High Income,Western
89,Dropbox,2012,68648009,web,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,True,USA,North America,High Income,Western
90,Drupal,2013,1000000,web,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
91,DSW Inc.,2005,1400000,retail,hacked,Hacking/Intrusion,Retail,Pre-Pandemic,False,USA,North America,High Income,Western
92,Dubsmash,2018,162000000,messaging app,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
93,Dun & Bradstreet,2013,1000000,tech,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
94,EasyJet,2019,9000000,transport,hacked,Hacking/Intrusion,Transport,Pre-Pandemic,False,UK,Europe,High Income,Western
94,EasyJet,2020,9000000,transport,hacked,Hacking/Intrusion,Transport,Post-Pandemic,True,UK,Europe,High Income,Western
95,eBay,2014,145000000,web,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
96,"Earl Enterprises(Buca di Beppo, Earl of Sandwich, Planet Hollywood,Chicken Guy, Mixology, Tequila Taqueria)",2018,2000000,restaurant,hacked,Hacking/Intrusion,Other,Pre-Pandemic,False,USA,North America,High Income,Western
96,"Earl Enterprises(Buca di Beppo, Earl of Sandwich, Planet Hollywood,Chicken Guy, Mixology, Tequila Taqueria)",2019,2000000,restaurant,hacked,Hacking/Intrusion,Other,Pre-Pandemic,False,USA,North America,High Income,Western
97,Educational Credit Management Corporation,2010,3300000,financial,lost / stolen media,Physical Loss,Finance,Pre-Pandemic,False,USA,North America,High Income,Western
98,Eisenhower Medical Center,2011,514330,healthcare,lost / stolen computer,Physical Loss,Healthcare,Pre-Pandemic,False,USA,North America,High Income,Western
99,ElasticSearch,2019,108000000,tech,poor security,Misconfiguration/Vulnerability,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
100,Embassy Cables,2010,251000,government,inside job,Insider Threat,Government,Pre-Pandemic,False,USA,North America,High Income,Western
101,"Emergency Healthcare Physicians, Ltd.",2010,180111,healthcare,lost / stolen media,Physical Loss,Healthcare,Pre-Pandemic,False,USA,North America,High Income,Western
102,Emory Healthcare,2012,315000,healthcare,poor security,Misconfiguration/Vulnerability,Healthcare,Pre-Pandemic,True,USA,North America,High Income,Western
103,Equifax,2017,163119000,"financial, credit reporting",poor security,Misconfiguration/Vulnerability,Finance,Pre-Pandemic,False,USA,North America,High Income,Western
104,European Central Bank,2014,0,financial,hacked,Hacking/Intrusion,Finance,Pre-Pandemic,False,Germany,Europe,High Income,Western
105,Evernote,2013,50000000,web,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
106,Exactis,2018,340000000,data broker,poor security,Misconfiguration/Vulnerability,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
107,Excellus BlueCross BlueShield,2015,10000000,healthcare,hacked,Hacking/Intrusion,Healthcare,Pre-Pandemic,False,USA,North America,High Income,Western
108,Experian - T-Mobile US,2015,15000000,telecoms,hacked,Hacking/Intrusion,Telecommunications,Pre-Pandemic,False,USA,North America,High Income,Western
109,EyeWire,2016,0,tech,lost / stolen computer,Physical Loss,Technology,Pre-Pandemic,True,USA,North America,High Income,Western
110,Facebook,2013,6000000,social network,accidentally published,Accidental/Error,Other,Pre-Pandemic,False,USA,North America,High Income,Western
111,Facebook,2018,50000000,social network,poor security,Misconfiguration/Vulnerability,Other,Pre-Pandemic,False,USA,North America,High Income,Western
112,Facebook,2019,540000000,social network,poor security,Misconfiguration/Vulnerability,Other,Pre-Pandemic,False,USA,North America,High Income,Western
113,Facebook,2019,1500000,social network,accidentally uploaded,Accidental/Error,Other,Pre-Pandemic,False,USA,North America,High Income,Western
114,Facebook,2019,267000000,social network,poor security,Misconfiguration/Vulnerability,Other,Pre-Pandemic,False,USA,North America,High Income,Western
115,Fast Retailing,2019,461091,retail,hacked,Hacking/Intrusion,Retail,Pre-Pandemic,False,Japan,Asia,High Income,Eastern
116,Federal Reserve Bank of Cleveland,2010,400000,financial,hacked,Hacking/Intrusion,Finance,Pre-Pandemic,False,USA,North America,High Income,Western
117,Fidelity National Information Services,2007,8500000,financial,inside job,Insider Threat,Finance,Pre-Pandemic,False,USA,North America,High Income,Western
118,First American Corporation,2019,885000000,financial service company,poor security,Misconfiguration/Vulnerability,Finance,Pre-Pandemic,False,USA,North America,High Income,Western
119,FireEye,2020,0,Information Security,hacked,Hacking/Intrusion,Technology,Post-Pandemic,True,USA,North America,High Income,Western
120,Florida Department of Juvenile Justice,2013,100000,government,lost / stolen computer,Physical Loss,Government,Pre-Pandemic,False,USA,North America,High Income,Western
121,Friend Finder Networks,2016,412214295,web,poor security / hacked,Hacking/Intrusion,Technology,Pre-Pandemic,True,USA,North America,High Income,Western
122,Funimation,2016,2500000,web,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,True,USA,North America,High Income,Western
123,Formspring,2012,420000,web,accidentally published,Accidental/Error,Technology,Pre-Pandemic,True,USA,North America,High Income,Western
124,Unknown,2020,201000000,personal and demographic data about residents and their properties of US,Poor security,Misconfiguration/Vulnerability,Technology,Post-Pandemic,True,Unknown,Unknown,Unknown,Unknown
125,Gamigo,2012,8000000,web,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,True,Germany,Europe,High Income,Western
126,Gap Inc.,2007,800000,retail,lost / stolen computer,Physical Loss,Retail,Pre-Pandemic,False,USA,North America,High Income,Western
127,Gawker,2010,1500000,web,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
128,Global Payments,2012,7000000,financial,hacked,Hacking/Intrusion,Finance,Pre-Pandemic,True,USA,North America,High Income,Western
129,Gmail,2014,5000000,web,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
130,Google Plus,2018,500000,social network,poor security,Misconfiguration/Vulnerability,Other,Pre-Pandemic,False,USA,North America,High Income,Western
131,Greek government,2012,9000000,government,hacked,Hacking/Intrusion,Government,Pre-Pandemic,True,Greece,Europe,High Income,Western
132,Grozio Chirurgija,2017,25000,healthcare,hacked,Hacking/Intrusion,Healthcare,Pre-Pandemic,False,Lithuania,Europe,High Income,Western
133,GS Caltex,2008,11100000,energy,inside job,Insider Threat,Energy,Pre-Pandemic,True,South Korea,Asia,High Income,Eastern
134,Gyft,2016,0,web,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,True,USA,North America,High Income,Western
135,Hannaford Brothers Supermarket Chain,2007,4200000,retail,hacked,Hacking/Intrusion,Retail,Pre-Pandemic,False,USA,North America,High Income,Western
136,HauteLook,2018,28517244,retail,hacked,Hacking/Intrusion,Retail,Pre-Pandemic,False,USA,North America,High Income,Western
137,Health Net,2009,500000,healthcare,lost / stolen media,Physical Loss,Healthcare,Pre-Pandemic,False,USA,North America,High Income,Western
138,Health Net — IBM,2011,1900000,healthcare,lost / stolen media,Physical Loss,Healthcare,Pre-Pandemic,False,USA,North America,High Income,Western
139,Health Sciences Authority (Singapore),2019,808000,healthcare,poor security,Misconfiguration/Vulnerability,Healthcare,Pre-Pandemic,False,Singapore,Asia,High Income,Eastern
140,Health Service Executive,2021,0,healthcare,unknown,Other/Unknown,Healthcare,Post-Pandemic,False,Ireland,Europe,High Income,Western
141,Heartland,2009,130000000,financial,hacked,Hacking/Intrusion,Finance,Pre-Pandemic,False,USA,North America,High Income,Western
142,Heathrow Airport,2017,2,transport,lost / stolen media,Physical Loss,Transport,Pre-Pandemic,False,UK,Europe,High Income,Western
143,Hewlett Packard,2006,200000,"tech, retail",lost / stolen media,Physical Loss,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
144,Hilton Hotels,2014,363000,hotel,hacked,Hacking/Intrusion,Other,Pre-Pandemic,False,USA,North America,High Income,Western
144,Hilton Hotels,2015,363000,hotel,hacked,Hacking/Intrusion,Other,Pre-Pandemic,False,USA,North America,High Income,Western
145,Home Depot,2014,56000000,retail,hacked,Hacking/Intrusion,Retail,Pre-Pandemic,False,USA,North America,High Income,Western
146,Honda Canada,2011,283000,retail,poor security,Misconfiguration/Vulnerability,Retail,Pre-Pandemic,False,Canada,North America,High Income,Western
147,Hyatt Hotels,2015,250,hotel,hacked,Hacking/Intrusion,Other,Pre-Pandemic,False,USA,North America,High Income,Western
148,Iberdrola,2022,1300000,energy,poor security,Misconfiguration/Vulnerability,Energy,Post-Pandemic,False,Spain,Europe,High Income,Western
149,Instagram,2020,200000000,social network,poor security,Misconfiguration/Vulnerability,Other,Post-Pandemic,True,USA,North America,High Income,Western
150,Internal Revenue Service,2015,720000,financial,hacked,Hacking/Intrusion,Finance,Pre-Pandemic,False,USA,North America,High Income,Western
151,International Committee of the Red Cross,2022,515000,humanitarian,unknown,Other/Unknown,Technology,Post-Pandemic,False,Switzerland,Europe,High Income,Western
152,Inuvik hospital,2016,6700,healthcare,inside job,Insider Threat,Healthcare,Pre-Pandemic,True,Canada,North America,High Income,Western
153,"Iranian banks (three: Saderat, Eghtesad Novin, and Saman)",2012,3000000,financial,hacked,Hacking/Intrusion,Finance,Pre-Pandemic,True,Iran,Asia,Lower-Middle Income,Eastern
154,Japan Pension Service,2015,1250000,special public corporation,hacked,Hacking/Intrusion,Government,Pre-Pandemic,False,Japan,Asia,High Income,Eastern
155,Japanet Takata,2004,510000,shopping,inside job,Insider Threat,Retail,Pre-Pandemic,True,Japan,Asia,High Income,Eastern
156,"Jefferson County, West Virginia",2008,1600000,government,accidentally published,Accidental/Error,Government,Pre-Pandemic,True,USA,North America,High Income,Western
157,JP Morgan Chase,2010,2600000,financial,lost / stolen media,Physical Loss,Finance,Pre-Pandemic,False,USA,North America,High Income,Western
158,JP Morgan Chase,2014,76000000,financial,hacked,Hacking/Intrusion,Finance,Pre-Pandemic,False,USA,North America,High Income,Western
159,Justdial,2019,100000000,local search,unprotected api,Misconfiguration/Vulnerability,Other,Pre-Pandemic,False,India,Asia,Lower-Middle Income,Eastern
160,KDDI,2006,4000000,telecoms,hacked,Hacking/Intrusion,Telecommunications,Pre-Pandemic,False,Japan,Asia,High Income,Eastern
161,Kirkwood Community College,2013,125000,academic,hacked,Hacking/Intrusion,Education,Pre-Pandemic,False,USA,North America,High Income,Western
162,KM.RU,2016,1500000,web,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,True,Russia,Europe,Upper-Middle Income,Eastern
163,Koodo Mobile,2020,0,mobile carrier,hacked,Hacking/Intrusion,Other,Post-Pandemic,True,Canada,North America,High Income,Western
164,Korea Credit Bureau,2014,20000000,financial,inside job,Insider Threat,Finance,Pre-Pandemic,False,South Korea,Asia,High Income,Eastern
165,Kroll Background America,2013,1000000,tech,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
166,KT Corporation,2012,8700000,telecoms,hacked,Hacking/Intrusion,Telecommunications,Pre-Pandemic,True,South Korea,Asia,High Income,Eastern
167,LexisNexis,2014,1000000,tech,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
168,"Landry's, Inc.",2015,500,restaurant,hacked,Hacking/Intrusion,Other,Pre-Pandemic,False,USA,North America,High Income,Western
169,Les Éditions Protégez-vous,2020,380000,publisher (magazine),unknown,Other/Unknown,Other,Post-Pandemic,True,Canada,North America,High Income,Western
170,LifeLabs,2019,15000000,healthcare,hacked,Hacking/Intrusion,Healthcare,Pre-Pandemic,False,Canada,North America,High Income,Western
171,Lincoln Medical & Mental Health Center,2010,130495,healthcare,lost / stolen media,Physical Loss,Healthcare,Pre-Pandemic,False,USA,North America,High Income,Western
172,"LinkedIn, eHarmony, Last.fm",2012,8000000,web,accidentally published,Accidental/Error,Technology,Pre-Pandemic,True,USA,North America,High Income,Western
173,Living Social,2013,50000000,web,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
174,MacRumors.com,2014,860000,web,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
175,Mandarin Oriental Hotels,2014,10,hotel,hacked,Hacking/Intrusion,Other,Pre-Pandemic,False,Hong Kong,Asia,High Income,Eastern
176,Marriott International,2018,500000000,hotel,hacked,Hacking/Intrusion,Other,Pre-Pandemic,False,USA,North America,High Income,Western
177,Marriott International,2020,5200000,hotel,poor security/inside job,Misconfiguration/Vulnerability,Other,Post-Pandemic,True,USA,North America,High Income,Western
178,Massachusetts Government,2011,210000,government,poor security,Misconfiguration/Vulnerability,Government,Pre-Pandemic,False,USA,North America,High Income,Western
179,Massive American business hack including 7-Eleven and Nasdaq,2012,160000000,financial,hacked,Hacking/Intrusion,Finance,Pre-Pandemic,True,USA,North America,High Income,Western
180,US Medicaid,2012,780000,"government, healthcare",hacked,Hacking/Intrusion,Healthcare,Pre-Pandemic,True,USA,North America,High Income,Western
181,Medical Informatics Engineering,2015,3900000,healthcare,hacked,Hacking/Intrusion,Healthcare,Pre-Pandemic,False,USA,North America,High Income,Western
182,Memorial Healthcare System,2011,102153,healthcare,lost / stolen media,Physical Loss,Healthcare,Pre-Pandemic,False,USA,North America,High Income,Western
183,Michaels,2014,3000000,retail,hacked,Hacking/Intrusion,Retail,Pre-Pandemic,False,USA,North America,High Income,Western
184,Microsoft,2019,250000000,tech,data exposed by misconfiguration,Misconfiguration/Vulnerability,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
185,Microsoft Exchange servers,2021,0,software,zero-day vulnerabilities,Hacking/Intrusion,Technology,Post-Pandemic,False,USA,North America,High Income,Western
186,Militarysingles.com,2012,163792,"web, military",accidentally published,Accidental/Error,Technology,Pre-Pandemic,True,USA,North America,High Income,Western
187,Ministry of Education (Chile),2008,6000000,government,accidentally published,Accidental/Error,Government,Pre-Pandemic,True,Chile,South America,High Income,Other/Unknown
188,Ministry of Health (Singapore),2019,14200,healthcare,poor security/inside job,Misconfiguration/Vulnerability,Healthcare,Pre-Pandemic,False,Singapore,Asia,High Income,Eastern
189,Mitsubishi Tokyo UFJ Bank,2006,960000,financial,intentionally lost,Physical Loss,Finance,Pre-Pandemic,False,Japan,Asia,High Income,Eastern
190,MongoDB,2019,202000000,tech,poor security,Misconfiguration/Vulnerability,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
191,MongoDB,2019,275000000,tech,poor security,Misconfiguration/Vulnerability,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
192,Mobile TeleSystems (MTS),2019,100000000,telecommunications,misconfiguration/poor security,Misconfiguration/Vulnerability,Telecommunications,Pre-Pandemic,False,Russia,Europe,Upper-Middle Income,Eastern
193,Monster.com,2007,1600000,web,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
194,Morgan Stanley Smith Barney,2011,34000,financial,lost / stolen media,Physical Loss,Finance,Pre-Pandemic,False,USA,North America,High Income,Western
195,Morinaga Confectionery,2022,1648922,online shopping,ransomware hacked,Hacking/Intrusion,Retail,Post-Pandemic,False,Japan,Asia,High Income,Eastern
196,Mozilla,2014,76000,web,poor security,Misconfiguration/Vulnerability,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
197,MyHeritage,2018,92283889,genealogy,unknown,Other/Unknown,Other,Pre-Pandemic,False,Israel,Asia,High Income,Western
198,NASDAQ,2014,0,financial,hacked,Hacking/Intrusion,Finance,Pre-Pandemic,False,USA,North America,High Income,Western
199,Natural Grocers,2015,93,retail,hacked,Hacking/Intrusion,Retail,Pre-Pandemic,False,USA,North America,High Income,Western
200,"NEC Networks, LLC",2021,1600000,healthcare,hacked,Hacking/Intrusion,Healthcare,Post-Pandemic,False,USA,North America,High Income,Western
201,Neiman Marcus,2014,1100000,retail,hacked,Hacking/Intrusion,Retail,Pre-Pandemic,False,USA,North America,High Income,Western
202,Nemours Foundation,2011,1055489,healthcare,lost / stolen media,Physical Loss,Healthcare,Pre-Pandemic,False,USA,North America,High Income,Western
